movie_id,genre
2009223,Short
2003858,Short
2011731,Romance
2011731,Short
1899917,Drama
2010516,Short
2010516,Drama
2009869,Drama
2009869,Short
2004488,Short
2008093,Short
2008093,Documentary
1231018,Adventure
1231018,Thriller
2003859,Drama
1233838,Thriller
1233838,Drama
1528600,Drama
1411307,Family
1411307,Thriller
1411307,Comedy
1411307,Drama
1783907,Drama
1610187,Musical
1610187,Comedy
1610187,Drama
1684488,Drama
1684488,Comedy
1132874,Thriller
1132874,Drama
1872179,Comedy
1872179,Drama
1787619,Drama
1787619,Crime
1293121,Comedy
1131274,Comedy
1131274,Drama
1839005,Drama
1839005,Comedy
1732116,Comedy
1732116,Fantasy
1540841,Comedy
1540841,Action
1642979,Musical
1642979,Comedy
1211178,Drama
1354428,Drama
1354428,Comedy
1313173,Comedy
1313173,Drama
1010034,Adventure
1010034,Thriller
1010034,Drama
1992899,Romance
1992899,Drama
1681255,Adventure
1681255,Drama
1681255,Comedy
1010066,Drama
1010066,Drama
1010349,Drama
1011581,Drama
1167245,Drama
1167245,Adventure
1760185,Drama
1760185,Romance
1442517,Drama
1442517,Romance
1827195,Drama
1083131,Drama
1083131,Comedy
1010039,Drama
1533750,Romance
1533750,Drama
2020191,Drama
2020191,Thriller
2020191,Drama
2020191,Thriller
1030292,Drama
2068702,Documentary
2051789,Documentary
1327200,Comedy
1327200,Romance
1327200,Musical
1011578,Drama
1011603,Crime
1011603,Thriller
1011603,Drama
1168250,Drama
1011064,Crime
1011064,Drama
1011064,Thriller
1576815,Documentary
1010348,Drama
1010348,Comedy
1010339,Drama
1010339,Crime
1010339,Thriller
1011347,Thriller
1011347,Crime
1011347,Drama
1011609,Comedy
1011084,Crime
1011084,Thriller
1011084,Adventure
2003903,Short
2003903,Drama
1011620,Comedy
2008208,Drama
2008208,Documentary
1010518,Drama
1010518,Comedy
1042809,Drama
1042809,Romance
1011612,Comedy
1011612,Drama
1011612,Thriller
1011612,Crime
1848713,Drama
1848713,Adventure
1848713,Comedy
1011610,Drama
