movie_id,authority,rating









2066560,Egypt,All Ages





1499794,elCinema.com,Family (all ages)
1010425,elCinema.com,Family (all ages)


1010589,Egypt,All Ages





1010578,Egypt,All Ages
1011501,Egypt,+16
1010777,elCinema.com,Adult Supervision
1010299,elCinema.com,Family (all ages)
1010586,elCinema.com,Adult Supervision




1005903,elCinema.com,Family (all ages)
1513547,Egypt,All Ages

1010089,elCinema.com,Adult Supervision


1782842,Egypt,+18

1002191,Egypt,All Ages
1263612,Egypt,All Ages








1004782,Egypt,All Ages





1827168,Egypt,All Ages



1004295,Egypt,All Ages
1006718,Egypt,All Ages

1005032,Egypt,All Ages









1168502,elCinema.com,Adult Supervision













1006732,elCinema.com,Adult Supervision


1004288,Egypt,All Ages

1010654,elCinema.com,Adult Supervision

1010305,elCinema.com,Adult Supervision



1010713,elCinema.com,Adult Supervision



1917108,elCinema.com,Family (all ages)
1010407,elCinema.com,Adults Only (18+)
1010810,elCinema.com,Adult Supervision



1009527,Egypt,All Ages
1066040,elCinema.com,Adult Supervision
1567013,Egypt,All Ages
1006865,elCinema.com,Adult Supervision


2003556,Egypt,All Ages
1000034,elCinema.com,Adult Supervision
1544519,Egypt,All Ages
1002631,Egypt,+12
1871592,Egypt,All Ages
1871592,Egypt,All Ages





1073332,Egypt,All Ages
1007967,Egypt,All Ages


1010797,Egypt,All Ages





1867743,Egypt,All Ages
1004232,Egypt,All Ages
1444591,elCinema.com,Family (all ages)
1096573,elCinema.com,Adult Supervision
1009859,elCinema.com,Family (all ages)







1884903,Egypt,All Ages



1527031,Egypt,All Ages



1010410,Egypt,All Ages
1000546,Egypt,All Ages

1010174,Egypt,All Ages
1008146,Egypt,All Ages













1005621,elCinema.com,Family (all ages)


1004038,Egypt,+18
1004038,Egypt,+18
1007370,elCinema.com,Adult Supervision


1010048,elCinema.com,Adult Supervision

1003470,Egypt,+18




1010127,Egypt,All Ages
1006995,Egypt,+16
1010453,Egypt,All Ages
1011706,Egypt,All Ages


1000172,Egypt,All Ages
1000983,elCinema.com,Adults Only (18+)


1010175,elCinema.com,Adult Supervision
1001283,elCinema.com,Adult Supervision
1005239,elCinema.com,Adult Supervision
1006000,elCinema.com,Family (all ages)



1125916,Egypt,+18









1004731,Egypt,All Ages



1000397,elCinema.com,Adult Supervision









1002004,elCinema.com,Adults Only (18+)
1007386,Egypt,All Ages
1003287,elCinema.com,Family (all ages)

1002349,elCinema.com,Family (all ages)
1003597,Egypt,All Ages



1006984,elCinema.com,Adult Supervision


1010311,Egypt,All Ages
1339103,Egypt,All Ages





1010590,Egypt,All Ages



1006300,Egypt,All Ages

1004859,Egypt,All Ages
2011312,Egypt,All Ages




1009776,elCinema.com,Adult Supervision



1008365,elCinema.com,Adult Supervision
1005754,elCinema.com,Adults Only (18+)

1010298,elCinema.com,Adult Supervision



1636983,Egypt,All Ages



1000672,Egypt,All Ages
1010581,Egypt,All Ages

1010329,Egypt,All Ages


